ID,target
ID_test_0,150.3956
ID_test_1,69.22803
ID_test_10,43.258858
ID_test_100,102.44501
ID_test_1000,49.198116
ID_test_1001,50.233334
ID_test_1002,81.54324
ID_test_1003,32.607105
ID_test_1004,39.516506
ID_test_1005,72.13887
ID_test_1006,36.029736
ID_test_1007,66.47351
ID_test_1008,56.757244
ID_test_1009,42.9698
ID_test_101,130.7605
ID_test_1010,39.561874
ID_test_1011,61.60524
ID_test_1012,35.721153
ID_test_1013,35.07608
ID_test_1014,52.88666
ID_test_1015,32.2549
ID_test_1016,31.556665
ID_test_1017,49.81532
ID_test_1018,46.732227
ID_test_1019,36.886852
ID_test_102,38.93955
ID_test_1020,45.130375
ID_test_1021,95.24854
ID_test_1022,58.46719
ID_test_1023,108.20935
ID_test_1024,45.25451
ID_test_1025,80.89493
ID_test_1026,199.23746
ID_test_1027,34.1849
ID_test_1028,33.795773
ID_test_1029,79.2189
ID_test_103,38.870884
ID_test_1030,175.0528
ID_test_1031,113.81372
ID_test_1032,34.571285
ID_test_1033,39.00831
ID_test_1034,49.828
ID_test_1035,91.55823
ID_test_1036,89.02125
ID_test_1037,56.17123
ID_test_1038,118.62526
ID_test_1039,62.83447
ID_test_104,60.27401
ID_test_1040,45.312275
ID_test_1041,43.283943
ID_test_1042,93.11719
ID_test_1043,63.26259
ID_test_1044,53.731625
ID_test_1045,127.02821
ID_test_1046,29.945581
ID_test_1047,38.92425
ID_test_1048,67.85052
ID_test_1049,41.380283
ID_test_105,57.458126
ID_test_1050,36.60435
ID_test_1051,56.60317
ID_test_1052,37.703312
ID_test_1053,14.774005
ID_test_1054,45.783794
ID_test_1055,42.76945
ID_test_1056,46.267372
ID_test_1057,41.065903
ID_test_1058,51.403263
ID_test_1059,54.664104
ID_test_106,49.940746
ID_test_1060,45.112133
ID_test_1061,17.758257
ID_test_1062,54.20161
ID_test_1063,123.90594
ID_test_1064,60.384502
ID_test_1065,45.244137
ID_test_1066,38.846874
ID_test_1067,65.59443
ID_test_1068,52.79691
ID_test_1069,50.640736
ID_test_107,18.382174
ID_test_1070,44.329967
ID_test_1071,207.96664
ID_test_1072,70.39525
ID_test_1073,102.87216
ID_test_1074,53.014652
ID_test_1075,160.0062
ID_test_1076,96.73355
ID_test_1077,60.30651
ID_test_1078,39.08194
ID_test_1079,52.745823
ID_test_108,41.798008
ID_test_1080,122.01623
ID_test_1081,50.160275
ID_test_1082,64.698494
ID_test_1083,53.294094
ID_test_1084,43.28435
ID_test_1085,177.7349
ID_test_1086,56.91614
ID_test_1087,61.69244
ID_test_1088,69.28135
ID_test_1089,37.96182
ID_test_109,59.75864
ID_test_1090,47.56143
ID_test_1091,36.921795
ID_test_1092,29.880823
ID_test_1093,85.38363
ID_test_1094,39.660698
ID_test_1095,39.114414
ID_test_1096,122.71579
ID_test_1097,111.812706
ID_test_1098,54.438663
ID_test_1099,58.126163
ID_test_11,39.9597
ID_test_110,35.326504
ID_test_1100,68.964676
ID_test_1101,85.39038
ID_test_1102,84.87886
ID_test_1103,70.16396
ID_test_1104,194.45926
ID_test_1105,48.25302
ID_test_1106,45.28388
ID_test_1107,89.271935
ID_test_1108,78.32004
ID_test_1109,11.776849
ID_test_111,99.05501
ID_test_1110,56.90704
ID_test_1111,33.261517
ID_test_1112,55.813038
ID_test_1113,79.32748
ID_test_1114,33.098766
ID_test_1115,45.993587
ID_test_1116,54.8499
ID_test_1117,71.268906
ID_test_1118,84.7106
